,thyroid,penglobal,satimages,arrhytmia,annthyroid,vowels_odds,http_all,ionosphere,kdd_ftp_distinct,abalone,wbc,kdd99,yeast,cover,mulcross,aloi,mammography,kdd_other,wikiqoe,musk,wine,satellite,pima_odds,kdd_http,kdd_smtp,spambase,shuttle_odds,mnist,magicgamma,cardio,kdd_http_distinct,smtp_all,breastcancer,http_logged,vertebral,kdd_smtp_distinct,kdd_ftp,kdd_finger,mean,var
rbo_0.1_gap,0.24702448618842843,0.22704410856997453,0.742051359004752,0.24261104802606256,0.10390832314457593,0.10171146909283503,0.41584634408529036,0.19228048283477928,0.0965441708172603,0.20451530764741507,0.3235343374798928,0.5532951953368468,0.05968678008126274,0.05569232754667509,0.29446978181673694,0.00503620788364989,0.05520903915128915,0.14969745273400892,0.034735886125178805,0.4505819813723754,0.03919099464903478,0.4045991020990861,0.07676749603085992,0.06844335226377357,0.21815034406972217,-0.031217982061098215,0.5862590064087264,0.22154333541173227,0.20716523055868508,0.2968743927301801,0.2990560964797082,0.569494465663999,0.2086022496608897,0.10969290192647208,-0.03143544649052801,0.01224862611401556,0.44970889869115194,0.10081716996419696,0.22003779797657624,0.03498382652770257
all_gap,0.2523989837406596,0.19513729574252675,0.71352465818608,0.21746984233995298,0.1040730980633588,0.10075193506233428,0.3987707174610889,0.16005843125334962,0.08557197880636047,0.19028342505626306,0.2760978611016789,0.3795155630776148,0.048003303508503486,0.045477027378120954,0.27858795350994225,0.004615796567821039,0.048170492015187555,-0.1633577151206962,0.029540680901364788,0.35758330018963214,0.03458387722480991,0.35271182106531224,0.08572673688394122,0.06383159266747074,0.0697787458123812,-0.03898292965067601,0.49089718559735906,0.19746905574973944,0.2004761893110052,0.29219020415761726,0.26667484695988214,0.5018888804070285,0.18360601833122625,0.08566465191394534,-0.03296713627684758,-0.020324019231817744,0.36018514314137606,0.07378090182619393,0.18130174722976564,0.030736088046255296
weighted_rbo_gap/%,45.95095328539092,26.813163503329946,77.48339021559684,54.13981677860787,34.10695033813839,60.89833953515434,58.590429850652704,25.62462910929656,43.8216466599386,50.91930325561006,52.844196253889876,58.58744714924864,21.891289525425826,-92.1621846310833,41.46523279158478,12.123122978873745,53.136160277905816,-39.29833883283093,25.681588600936966,34.820178065290094,66.70870593275689,55.85219027721243,18.505479688481653,21.96535639125566,23.71534784813334,-4.682823964873997,63.17495324828752,45.719500777007575,31.845232207143898,49.97077575534625,38.47382302634896,55.980812210415785,18.263399780687635,21.010420653299892,-37.35790596153684,18.81209527611145,38.42282824284965,34.562349756042316,31.799469890945463,1013.1284253533922
rbo_0.9_gap/%,56.277745456656426,33.27092740653029,77.99586790720163,53.992692162537296,34.87365358709493,59.06483694503976,57.61810776131888,24.079990618168242,21.76703863974597,60.25627760447251,57.9834753936424,60.65381846340772,26.708112630195536,65.85450971344706,38.791409579315136,14.106779666629714,38.9381050546896,27.019070404317997,28.34723276441551,48.96705078273889,68.94415942309412,56.95823627150972,19.096870847189905,12.594557765012574,66.82653023065176,-8.146982458157364,62.929926221800095,64.07501832768594,33.17216567732578,50.43134295358085,43.35193893425414,59.942418747263424,20.727471081515194,41.88713567113507,-41.57889622201537,-15.848677650994828,44.84458676019435,27.343868761265473,39.31890457589148,621.9746536131337
rbo_0.8_gap/%,56.277745456656426,40.086141833177535,77.99586790720163,57.46830624142729,34.87365358709493,59.06483694503976,57.61810776131888,23.328231326558203,21.76703863974597,58.80718477370426,59.06101723369016,60.65381846340772,23.851273192022937,65.85450971344706,38.791409579315136,14.106779666629714,38.9381050546896,27.019070404317997,28.88083095524242,48.33804389761774,68.75544741381944,63.59381166709737,18.976491681775446,12.594557765012574,66.82653023065176,-8.146982458157364,62.929926221800095,64.07501832768594,33.17216567732578,50.43134295358085,47.31661741173323,59.942418747263424,19.649149481976107,41.88713567113507,-37.35790596153684,-15.117116297902125,44.926885236062624,35.72370848783767,40.077925654985954,611.5927063113611
rbo_0.7_gap/%,48.84458107245238,40.086141833177535,81.92005862599763,57.46830624142729,34.87365358709493,59.06483694503976,57.61810776131888,22.19219365054108,21.76703863974597,58.80718477370426,59.06101723369016,57.27252275994087,23.851273192022937,65.85450971344706,38.791409579315136,14.106779666629714,38.9381050546896,27.019070404317997,28.88083095524242,45.175145654853225,68.75544741381944,63.59381166709737,18.976491681775446,12.52586458949555,66.82653023065176,-7.799253848387795,62.929926221800095,64.55887307456167,33.17216567732578,50.43134295358085,47.31661741173323,59.942418747263424,19.649149481976107,41.87748131121817,-34.87471783227774,-15.117116297902125,44.926885236062624,35.72370848783767,39.86864193558633,601.34299176734
rbo_0.6_gap/%,48.84458107245238,40.086141833177535,81.92005862599763,57.46830624142729,34.87365358709493,59.06483694503976,57.61810776131888,22.19219365054108,21.76703863974597,58.80718477370426,58.80211119809549,57.27252275994087,23.851273192022937,65.85450971344706,38.791409579315136,14.106779666629714,38.9381050546896,27.019070404317997,28.88083095524242,45.175145654853225,68.75544741381944,63.59381166709737,18.976491681775446,12.529722890975355,66.82653023065176,-7.799253848387795,62.929926221800095,64.55887307456167,33.17216567732578,50.43134295358085,47.33553744962753,59.942418747263424,19.649149481976107,32.08432410804508,-34.87471783227774,-15.117116297902125,44.926885236062624,35.72370848783767,39.60471338560228,602.5038695033281
rbo_0.5_gap/%,48.84458107245238,40.086141833177535,81.92005862599763,57.46830624142729,34.87365358709493,59.06483694503976,57.61810776131888,22.19219365054108,21.76703863974597,58.80718477370426,58.80211119809549,57.27252275994087,23.851273192022937,65.85450971344706,38.791409579315136,14.106779666629714,38.9381050546896,27.019070404317997,28.88083095524242,45.175145654853225,68.75544741381944,63.59381166709737,18.976491681775446,12.457131416566916,66.82653023065176,-7.656091171120094,62.929926221800095,65.48813287262793,33.17216567732578,50.43134295358085,47.33553744962753,59.942418747263424,19.649149481976107,32.08432410804508,-34.87471783227774,-18.08056441716813,44.926885236062624,35.72370848783767,39.553039250909116,612.2574515013541
rbo_0.4_gap/%,48.84458107245238,40.086141833177535,80.76975785264267,57.286986189851504,34.87365358709493,59.06483694503976,57.61810776131888,22.19219365054108,21.76703863974597,58.80718477370426,58.80211119809549,57.27252275994087,23.851273192022937,65.85450971344706,38.791409579315136,14.106779666629714,38.9381050546896,27.019070404317997,28.88083095524242,45.175145654853225,68.75544741381944,63.59381166709737,18.976491681775446,12.457131416566916,66.82653023065176,-7.656091171120094,62.929926221800095,65.48813287262793,33.17216567732578,50.43134295358085,47.87315883637445,59.942418747263424,19.649149481976107,32.21090625198566,-34.87471783227774,-18.08056441716813,44.926885236062624,35.72370848783767,39.535475637902714,609.7353526800382
rbo_0.3_gap/%,48.84458107245238,40.086141833177535,80.76975785264267,57.286986189851504,34.87365358709493,59.06483694503976,57.61810776131888,22.19219365054108,21.76703863974597,58.80718477370426,58.80211119809549,57.27252275994087,23.851273192022937,65.85450971344706,38.791409579315136,14.106779666629714,40.38294950041138,27.019070404317997,28.88083095524242,45.175145654853225,64.78475080802531,63.59381166709737,16.561879439709763,12.457131416566916,66.82653023065176,-7.6126630728628335,62.929926221800095,65.48813287262793,33.17216567732578,50.43134295358085,46.412398749307826,59.942418747263424,19.649149481976107,22.28687360525938,-34.87471783227774,-18.08056441716813,43.344363977968314,35.72370848783767,39.06536115643513,611.9400874759065
